CC22_320a,numchildren,CC22_300d_3,CC22_300d_1,CC22_300d_4,CC22_300d_6,CC22_300d_5,CC22_300d_2,CC22_309f,hispanic,CC22_300b_7,CC22_302,pew_religimp,faminc_new,CC22_327a,transgender,urbancity,employ,CC22_360,CC22_300b_8,gender4,CC22_303,CC22_300b_2,ideo5,gunown,sexuality,CC22_300b_6,CC22_309e,marstat,CC22_300b_4,CC22_320b,CC22_304,CC22_320c,industry,educ,race,CC22_300b_1,CC22_333,religpew,CC22_300b_3,presvote20post,presvote16post,CC22_300b_5,CC22_306,investor
0,0.9217143166798676,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,4.0,1.0,2.0,2,2.0,1.0,2.0,2,2.0,1.0,3,3.0,1.0,1.0,2.0,5.0,2.0,2.0,3.0,5.0,10.0,2,1,2.0,3.0,11,2.0,1.0,1.0,2.0,2.0,2.0
0,1.3523221292577432,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,2.0,1,1.0,1.0,2.0,2,4.0,2.0,1,3.0,1.0,2.0,3.0,5.0,1.0,5.0,2.0,5.0,8.0,4,6,2.0,1.0,11,2.0,4.0,7.0,2.0,4.0,2.0
1,3.6865405587605733,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,10.0,1.0,2.0,1,2.0,2.0,2.0,2,3.0,2.0,3,3.0,1.0,2.0,3.0,5.0,2.0,2.0,2.0,4.0,17.0,3,2,2.0,2.0,11,2.0,1.0,7.0,2.0,4.0,1.0
1,1.358185724682643,1.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,6.0,1.0,3.0,1.0,2.0,2,1.0,2.0,2.0,2,3.0,1.0,3,3.0,1.0,2.0,3.0,5.0,2.0,5.0,1.0,3.0,10.0,2,2,2.0,1.0,1,2.0,1.0,1.0,2.0,1.0,2.0
0,0.5619241831524369,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,14.0,1.0,1.0,1,1.0,2.0,2.0,2,4.0,1.0,3,3.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,8.0,2,1,1.0,2.0,5,2.0,1.0,2.0,2.0,2.0,1.0
0,0.5622518912924365,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,6.0,2.0,11.0,1.0,2.0,4,1.0,1.0,2.0,1,4.0,2.0,3,3.0,1.0,2.0,3.0,5.0,2.0,5.0,1.0,5.0,17.0,2,1,2.0,4.0,1,2.0,1.0,7.0,2.0,2.0,2.0
0,0.3449607247891977,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,8.0,1.0,2.0,1,5.0,1.0,1.0,2,2.0,2.0,6,3.0,1.0,2.0,4.0,1.0,2.0,5.0,1.0,5.0,12.0,5,8,2.0,2.0,11,2.0,6.0,7.0,2.0,2.0,2.0
1,0.9732347161235879,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,6.0,1.0,5.0,1.0,2.0,1,1.0,2.0,2.0,2,4.0,1.0,6,3.0,1.0,1.0,3.0,3.0,1.0,5.0,1.0,5.0,10.0,2,2,1.0,1.0,1,2.0,1.0,3.0,2.0,1.0,2.0
1,-1.3139644898275962,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,6.0,1.0,6.0,1.0,2.0,4,2.0,2.0,2.0,2,3.0,2.0,2,3.0,1.0,2.0,2.0,1.0,2.0,5.0,1.0,5.0,10.0,3,1,2.0,4.0,2,2.0,6.0,7.0,2.0,4.0,2.0
1,1.2278615120201606,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,5.0,1.0,4.0,1.0,2.0,2,1.0,1.0,2.0,1,3.0,1.0,3,3.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,5.0,13.0,5,1,1.0,1.0,11,1.0,2.0,1.0,2.0,1.0,2.0
0,2.181189078352524,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,5.0,2.0,5.0,2.0,1.0,2,1.0,1.0,2.0,1,3.0,2.0,3,3.0,1.0,1.0,3.0,3.0,2.0,5.0,1.0,5.0,12.0,6,1,1.0,4.0,11,2.0,6.0,7.0,2.0,2.0,2.0
1,0.5896273291447317,1.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,4.0,3.0,97.0,1.0,2.0,1,1.0,1.0,2.0,2,3.0,2.0,2,3.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,5.0,9.0,2,1,2.0,4.0,1,2.0,1.0,1.0,2.0,1.0,2.0
0,0.848898214412438,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,6.0,1.0,2.0,1,1.0,2.0,2.0,2,2.0,1.0,3,1.0,1.0,2.0,3.0,1.0,2.0,5.0,1.0,5.0,8.0,4,2,2.0,1.0,9,1.0,6.0,7.0,2.0,2.0,2.0
1,2.1778533227888004,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1,7.0,2.0,2.0,2,3.0,1.0,1,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,8.0,2,3,2.0,3.0,1,1.0,6.0,1.0,2.0,1.0,2.0
0,1.1580977760733482,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,11.0,1.0,2.0,1,3.0,2.0,2.0,2,2.0,2.0,5,8.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,12.0,2,1,1.0,2.0,3,2.0,2.0,7.0,1.0,1.0,2.0
1,0.8724633542791845,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,11.0,1.0,2.0,1,4.0,3.0,2.0,1,3.0,2.0,1,1.0,1.0,2.0,1.0,5.0,1.0,5.0,3.0,1.0,13.0,6,2,1.0,1.0,9,1.0,1.0,6.0,1.0,3.0,1.0
0,1.8710767872859697,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,2.0,2.0,4,4.0,1.0,2.0,2,3.0,2.0,2,3.0,5.0,2.0,4.0,1.0,2.0,5.0,3.0,5.0,8.0,3,2,2.0,1.0,11,1.0,6.0,7.0,1.0,3.0,2.0
0,1.8401038508728154,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,2,2.0,1.0,2.0,2,3.0,1.0,6,3.0,1.0,2.0,3.0,5.0,1.0,3.0,3.0,3.0,4.0,3,1,1.0,2.0,10,1.0,2.0,7.0,1.0,1.0,2.0
1,1.7317728684737723,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,2,9.0,3.0,2.0,1,2.0,1.0,4,3.0,1.0,2.0,4.0,5.0,2.0,5.0,1.0,5.0,5.0,2,3,1.0,1.0,11,2.0,6.0,7.0,2.0,2.0,2.0
0,0.8622749181627045,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,4,4.0,4.0,2.0,2,4.0,2.0,6,8.0,1.0,2.0,5.0,6.0,1.0,5.0,1.0,5.0,14.0,2,6,2.0,2.0,2,2.0,6.0,7.0,2.0,2.0,1.0
1,0.7399162898826415,1.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,5.0,4.0,6.0,1.0,2.0,3,6.0,2.0,2.0,1,3.0,2.0,2,8.0,1.0,1.0,4.0,5.0,1.0,2.0,5.0,3.0,6.0,3,3,1.0,1.0,6,1.0,5.0,2.0,2.0,4.0,2.0
0,0.716215286670798,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,5.0,1.0,97.0,1.0,2.0,1,5.0,3.0,2.0,1,3.0,1.0,6,1.0,4.0,2.0,3.0,5.0,2.0,5.0,1.0,5.0,10.0,4,1,2.0,1.0,11,2.0,2.0,7.0,2.0,4.0,2.0
1,1.92203471739156,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,97.0,1.0,2.0,4,6.0,1.0,2.0,2,5.0,2.0,6,1.0,1.0,2.0,1.0,1.0,2.0,5.0,3.0,5.0,8.0,3,1,2.0,1.0,1,2.0,6.0,2.0,1.0,1.0,2.0
0,2.5956491719084833,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,1.0,2.0,2.0,2,7.0,3.0,2.0,2,3.0,1.0,3,8.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,3.0,12.0,3,1,2.0,1.0,2,1.0,1.0,7.0,2.0,4.0,2.0
1,1.27803502251317,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,1.0,2.0,1,1.0,1.0,2.0,2,4.0,2.0,4,3.0,4.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,10.0,3,7,2.0,4.0,9,2.0,6.0,7.0,2.0,1.0,2.0
0,3.8778273184911627,1.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,6.0,4.0,1.0,1.0,2.0,3,7.0,1.0,1.0,2,3.0,1.0,3,1.0,1.0,2.0,3.0,5.0,2.0,5.0,3.0,3.0,17.0,1,1,1.0,2.0,10,2.0,2.0,7.0,2.0,2.0,2.0
1,3.0563042602048514,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,3.0,97.0,1.0,2.0,3,4.0,2.0,2.0,1,4.0,2.0,3,3.0,1.0,2.0,3.0,5.0,2.0,5.0,2.0,5.0,10.0,1,1,2.0,2.0,1,1.0,2.0,7.0,2.0,1.0,2.0
1,1.9771695563492797,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,6.0,3.0,97.0,1.0,2.0,2,2.0,3.0,1.0,1,5.0,2.0,3,3.0,1.0,2.0,2.0,3.0,2.0,5.0,2.0,5.0,5.0,2,6,1.0,2.0,11,2.0,6.0,7.0,1.0,2.0,2.0
1,3.6194513284058667,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,6.0,2.0,4.0,1.0,2.0,3,6.0,3.0,1.0,2,3.0,2.0,6,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,5.0,10.0,2,2,2.0,3.0,9,2.0,6.0,7.0,1.0,4.0,2.0
0,-0.35726806856154064,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1,4.0,4.0,2.0,2,5.0,2.0,6,3.0,1.0,2.0,4.0,3.0,1.0,3.0,3.0,5.0,10.0,2,6,2.0,5.0,1,1.0,6.0,7.0,2.0,1.0,2.0
0,0.13399677622870595,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1,4.0,2.0,2.0,2,3.0,1.0,3,3.0,1.0,2.0,3.0,5.0,2.0,5.0,2.0,5.0,17.0,2,1,1.0,2.0,6,1.0,6.0,7.0,2.0,1.0,2.0
0,-0.13348527811686997,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,3,1.0,1.0,1.0,2,3.0,2.0,6,3.0,1.0,2.0,4.0,5.0,2.0,5.0,3.0,5.0,17.0,2,6,1.0,2.0,7,2.0,6.0,6.0,2.0,4.0,2.0
0,0.5803781179920152,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,3,2.0,3.0,1.0,2,3.0,2.0,6,3.0,1.0,2.0,3.0,6.0,2.0,5.0,1.0,5.0,13.0,2,1,2.0,3.0,11,1.0,6.0,7.0,1.0,2.0,2.0
1,0.03965433031588583,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,4,1.0,1.0,2.0,2,4.0,1.0,3,8.0,1.0,2.0,5.0,1.0,1.0,5.0,1.0,5.0,12.0,2,4,1.0,3.0,11,2.0,6.0,2.0,2.0,4.0,1.0
1,0.5348690535047014,1.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,6.0,1.0,3.0,1.0,2.0,2,4.0,1.0,2.0,2,3.0,1.0,3,8.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,10.0,2,2,2.0,2.0,11,2.0,6.0,7.0,2.0,4.0,2.0
1,0.4729871419993194,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,97.0,2.0,2.0,4,7.0,1.0,2.0,2,3.0,2.0,6,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,5.0,13.0,2,3,2.0,2.0,3,1.0,2.0,7.0,2.0,4.0,2.0
0,0.002374879408707644,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,5.0,1.0,1.0,1.0,2.0,1,6.0,2.0,2.0,2,2.0,2.0,2,1.0,1.0,2.0,4.0,5.0,2.0,2.0,3.0,5.0,12.0,2,1,2.0,1.0,12,2.0,6.0,4.0,2.0,1.0,2.0
0,0.12518336374192623,1.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,3.0,6.0,1.0,2.0,3,7.0,1.0,2.0,2,3.0,1.0,6,3.0,1.0,2.0,3.0,4.0,2.0,5.0,1.0,5.0,17.0,2,1,2.0,3.0,11,1.0,6.0,7.0,2.0,4.0,2.0
0,0.8131795792113489,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,1,5.0,3.0,2.0,2,4.0,1.0,3,8.0,1.0,2.0,2.0,5.0,1.0,3.0,1.0,4.0,9.0,2,1,1.0,1.0,11,1.0,6.0,7.0,2.0,4.0,2.0
0,-0.5123674303835527,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,5.0,2.0,1.0,1.0,2.0,4,1.0,3.0,2.0,1,4.0,1.0,3,3.0,1.0,1.0,3.0,5.0,2.0,2.0,3.0,5.0,17.0,2,1,2.0,3.0,11,1.0,1.0,7.0,2.0,1.0,1.0
1,-0.027078209131813188,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,5.0,2.0,8.0,1.0,2.0,2,4.0,1.0,1.0,2,2.0,2.0,4,3.0,6.0,2.0,4.0,5.0,2.0,3.0,1.0,5.0,12.0,3,1,1.0,3.0,6,2.0,3.0,2.0,1.0,2.0,1.0
0,0.24705108230584183,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,3.0,7.0,1.0,2.0,3,1.0,3.0,1.0,2,3.0,2.0,3,3.0,1.0,2.0,2.0,6.0,2.0,5.0,1.0,5.0,9.0,2,1,1.0,1.0,11,2.0,6.0,7.0,2.0,4.0,2.0
1,0.04400405168127697,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,5.0,1.0,97.0,2.0,2.0,1,4.0,1.0,2.0,2,3.0,2.0,1,3.0,1.0,2.0,5.0,5.0,2.0,5.0,1.0,3.0,10.0,2,2,1.0,1.0,11,1.0,6.0,7.0,2.0,2.0,2.0
0,0.04526550566771413,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,5.0,3.0,7.0,1.0,2.0,4,4.0,2.0,2.0,2,5.0,1.0,6,3.0,1.0,2.0,4.0,5.0,2.0,3.0,4.0,5.0,10.0,1,1,2.0,3.0,11,2.0,6.0,7.0,2.0,4.0,2.0
1,0.6134176395166898,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,4.0,4.0,1.0,1.0,2.0,4,6.0,4.0,1.0,2,3.0,2.0,6,8.0,1.0,2.0,4.0,1.0,1.0,5.0,1.0,2.0,10.0,2,1,2.0,3.0,12,2.0,6.0,7.0,2.0,1.0,2.0
0,-0.1541980379937164,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,97.0,1.0,2.0,4,4.0,1.0,1.0,1,3.0,2.0,4,3.0,1.0,2.0,4.0,5.0,2.0,5.0,3.0,5.0,12.0,2,1,2.0,2.0,11,2.0,6.0,2.0,2.0,2.0,2.0
1,-0.8208790727695192,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,4,6.0,2.0,2.0,1,5.0,1.0,3,3.0,1.0,1.0,3.0,5.0,1.0,5.0,1.0,5.0,10.0,1,2,2.0,2.0,1,1.0,6.0,7.0,1.0,4.0,2.0
0,-0.22521155865336473,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,4.0,1.0,1.0,3.0,4,1.0,1.0,2.0,2,3.0,2.0,2,8.0,1.0,2.0,5.0,2.0,2.0,3.0,1.0,3.0,13.0,1,2,1.0,1.0,1,1.0,2.0,6.0,2.0,4.0,2.0
1,0.16189870791872488,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,8.0,1.0,2.0,2,5.0,1.0,2.0,2,2.0,2.0,5,2.0,1.0,2.0,3.0,5.0,1.0,5.0,1.0,5.0,10.0,1,1,1.0,3.0,11,2.0,6.0,7.0,2.0,1.0,2.0
1,0.19181919756983346,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,6.0,4.0,3.0,1.0,2.0,3,2.0,1.0,2.0,2,3.0,1.0,6,3.0,1.0,2.0,4.0,6.0,2.0,3.0,1.0,2.0,2.0,2,1,2.0,3.0,2,1.0,6.0,2.0,2.0,4.0,2.0
0,-0.15184852885211733,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,5.0,1.0,2.0,4,7.0,3.0,2.0,2,3.0,1.0,1,3.0,1.0,2.0,1.0,5.0,2.0,5.0,1.0,5.0,12.0,3,2,2.0,1.0,11,2.0,6.0,7.0,2.0,4.0,2.0
0,0.07723163119954327,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,3.0,3.0,6.0,1.0,3.0,1,1.0,2.0,2.0,1,3.0,2.0,6,3.0,6.0,2.0,3.0,2.0,2.0,5.0,2.0,5.0,8.0,2,1,1.0,2.0,2,2.0,6.0,7.0,1.0,4.0,2.0
1,0.09340982140799442,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,1,6.0,1.0,2.0,1,5.0,1.0,6,3.0,1.0,2.0,3.0,5.0,2.0,5.0,5.0,2.0,6.0,3,1,1.0,1.0,11,1.0,3.0,7.0,2.0,2.0,2.0
0,0.5160760428864015,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,1,1.0,1.0,2.0,1,3.0,1.0,1,3.0,1.0,2.0,3.0,2.0,2.0,5.0,1.0,5.0,5.0,1,1,2.0,5.0,11,2.0,1.0,7.0,1.0,4.0,2.0
1,0.25473118445021076,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,1.0,7.0,1.0,2.0,4,4.0,1.0,2.0,1,5.0,2.0,6,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,5.0,7.0,2,1,1.0,1.0,10,2.0,6.0,7.0,1.0,2.0,2.0
1,0.40679589183622206,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,97.0,1.0,2.0,2,4.0,3.0,1.0,2,2.0,1.0,3,3.0,1.0,2.0,3.0,5.0,1.0,2.0,1.0,2.0,6.0,2,3,2.0,3.0,11,2.0,2.0,7.0,2.0,4.0,2.0
1,-0.40307947011696327,2.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,4,4.0,1.0,2.0,2,2.0,2.0,6,3.0,4.0,2.0,4.0,5.0,1.0,5.0,1.0,5.0,8.0,3,1,2.0,3.0,11,2.0,6.0,7.0,1.0,2.0,2.0
0,-0.46187948002857304,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,3.0,1.0,2.0,2,6.0,2.0,1.0,2,3.0,2.0,1,1.0,1.0,2.0,5.0,1.0,2.0,2.0,3.0,4.0,10.0,6,1,2.0,2.0,11,1.0,1.0,2.0,2.0,4.0,2.0
0,0.10892027293432649,1.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3,1.0,1.0,2.0,1,3.0,2.0,4,3.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,12.0,2,2,2.0,1.0,11,1.0,6.0,7.0,1.0,4.0,2.0
0,0.04737587034294753,1.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,4,1.0,3.0,2.0,1,3.0,2.0,3,3.0,1.0,2.0,2.0,5.0,1.0,3.0,1.0,3.0,9.0,3,2,1.0,5.0,11,1.0,6.0,7.0,2.0,2.0,2.0
0,0.8072444653614325,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,3,1.0,2.0,2.0,1,3.0,1.0,6,3.0,4.0,2.0,3.0,1.0,2.0,4.0,2.0,5.0,10.0,2,1,2.0,1.0,6,1.0,6.0,7.0,2.0,2.0,2.0
0,-0.2831284931721474,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,4,4.0,1.0,1.0,2,4.0,2.0,3,8.0,1.0,2.0,4.0,5.0,2.0,3.0,3.0,3.0,5.0,2,1,1.0,2.0,2,1.0,6.0,7.0,2.0,2.0,2.0
0,0.48845015300347183,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,2.0,1.0,1.0,2.0,2,1.0,1.0,2.0,4,3.0,1.0,3,8.0,1.0,2.0,5.0,5.0,1.0,3.0,1.0,5.0,8.0,3,1,2.0,1.0,11,2.0,1.0,2.0,2.0,4.0,2.0
0,-0.29553086963650005,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,5.0,1.0,2.0,3,9.0,1.0,2.0,2,5.0,2.0,3,3.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,4.0,10.0,6,5,1.0,1.0,11,1.0,6.0,6.0,1.0,2.0,1.0
0,0.33475689722454144,1.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,1.0,5.0,3.0,4.0,1.0,2.0,4,5.0,1.0,2.0,2,3.0,2.0,3,2.0,4.0,2.0,3.0,3.0,1.0,4.0,1.0,4.0,10.0,5,1,1.0,1.0,11,2.0,6.0,3.0,1.0,1.0,2.0
0,0.04920371918008337,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0,4.0,5.0,1.0,2.0,4,7.0,1.0,2.0,1,4.0,2.0,1,3.0,1.0,2.0,3.0,5.0,2.0,4.0,3.0,4.0,10.0,4,1,2.0,4.0,12,1.0,2.0,7.0,1.0,1.0,2.0
0,-0.050228961325193,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,5.0,4.0,9.0,1.0,2.0,2,5.0,1.0,2.0,2,5.0,2.0,1,3.0,1.0,2.0,5.0,5.0,1.0,4.0,1.0,4.0,16.0,2,1,1.0,1.0,12,1.0,6.0,7.0,1.0,2.0,2.0
0,0.10715149329559252,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,4.0,2.0,1.0,2.0,1,9.0,1.0,2.0,2,5.0,1.0,3,2.0,6.0,2.0,3.0,6.0,1.0,1.0,1.0,4.0,12.0,3,1,2.0,1.0,11,1.0,2.0,7.0,1.0,4.0,2.0
