Total_population__Both_sexes_,Taxable_income__million_yen_,Ordinal_Number_of_employed_persons,Number_of_households__Total_,Ordinal_Number_of_physicians,Number_of_dwellings_with_occupying_households,Ordinal_Total_population__65_and_over_,Number_of_lower_secondary_school_students,Number_of_elderly_nursing_facilities__Questionnaire_about_basic_matters_
b,b,e,a,a,,e,a,c
b,b,f,b,a,c,d,b,a
c,b,f,a,a,,d,a,c
b,c,e,b,a,c,f,b,a
d,c,e,b,a,c,c,d,d
b,b,f,b,a,,e,a,c
c,a,f,a,a,a,c,a,a
a,d,f,d,a,b,c,c,d
c,c,e,b,a,c,d,c,a
b,c,f,c,a,b,c,a,c
b,a,f,c,a,b,d,a,a
b,b,e,b,a,a,e,b,a
c,,f,c,a,d,b,d,b
d,d,e,c,a,,d,c,b
c,c,e,d,a,c,c,a,a
c,b,e,b,a,a,c,d,c
a,d,e,d,a,,d,a,c
a,a,e,b,a,,d,a,d
a,d,e,d,a,d,c,d,c
a,a,f,a,a,,e,b,a
a,a,f,d,a,c,d,d,a
a,a,e,b,a,c,e,a,d
b,a,e,b,a,b,d,d,d
b,a,e,b,a,,d,b,b
d,,e,d,a,b,b,b,c
d,b,f,b,a,a,d,b,a
c,b,e,c,a,a,c,d,c
b,a,e,d,a,c,d,d,d
b,d,d,d,a,a,f,a,c
b,a,f,a,a,a,c,c,a
d,d,h,d,a,d,c,d,d
b,b,f,b,a,,d,b,b
c,d,e,b,a,b,d,b,d
d,c,e,d,a,d,e,c,c
a,a,f,b,a,a,d,a,a
b,c,e,b,a,d,c,c,b
c,c,e,d,a,c,d,b,b
c,b,e,c,a,,d,b,b
a,,e,b,a,a,c,c,a
b,c,e,d,a,c,c,c,d
c,,e,a,a,,d,b,c
c,c,e,d,a,c,d,a,c
c,c,e,c,a,b,e,b,b
d,,e,d,a,,c,a,a
d,a,f,d,a,d,d,b,c
d,a,e,b,a,,e,b,b
c,c,e,b,a,b,e,c,b
a,c,f,a,a,,d,c,a
b,a,e,b,a,,e,b,d
a,c,f,b,a,b,d,c,b
d,d,e,c,a,c,c,c,b
a,a,f,a,a,,d,b,b
c,d,f,a,a,a,e,d,b
b,b,e,c,a,b,d,a,c
d,,e,d,a,d,c,d,c
a,b,e,b,a,b,c,c,d
c,b,f,d,a,a,f,b,b
b,a,f,b,a,,e,b,a
c,b,e,c,a,d,c,d,d
c,d,e,a,a,c,c,b,d
c,,e,c,a,a,d,d,d
d,a,e,b,a,d,d,b,a
c,c,h,b,a,a,b,a,a
c,b,e,c,a,a,c,c,d
d,c,e,b,a,a,d,c,b
d,a,e,d,a,d,d,a,b
b,c,e,d,a,a,c,d,d
c,d,e,d,a,d,d,c,c
c,c,f,b,a,d,d,d,c
d,c,e,a,a,,d,d,a
d,b,e,b,a,,e,d,b
d,,e,c,a,d,c,c,b
b,,e,c,a,,d,b,a
c,a,f,a,a,,e,b,a
d,,e,d,a,d,f,d,d
c,b,f,c,a,b,c,b,b
d,d,e,c,a,c,e,a,d
b,a,e,d,a,,c,d,c
b,b,f,d,a,d,d,c,d
a,a,f,a,a,b,d,a,b
b,a,e,b,a,d,b,a,c
b,c,e,b,a,a,c,d,d
c,b,g,c,a,c,d,c,d
b,d,e,d,a,d,c,b,d
d,c,e,c,a,b,c,c,d
a,b,e,b,a,,d,c,b
c,d,e,d,a,c,c,d,d
c,d,e,c,a,b,d,c,d
c,c,f,c,a,b,d,b,a
d,d,e,d,a,a,c,d,d
c,,e,c,a,c,d,b,b
a,a,e,b,a,a,c,b,a
d,c,e,c,a,b,d,c,b
b,b,e,b,a,a,d,c,a
a,a,e,c,a,,d,b,c
b,b,d,b,a,d,d,b,d
d,d,d,d,a,a,d,c,a
a,a,e,d,a,,c,a,a
a,b,f,c,a,,e,b,a
c,,f,d,a,a,b,b,a
b,a,e,b,a,a,d,b,a
d,b,e,d,a,,e,d,d
b,b,e,b,a,a,c,d,b
b,d,e,d,a,a,c,a,c
b,c,f,a,a,a,d,a,a
d,c,e,c,a,a,c,c,c
c,d,i,a,a,c,d,c,b
a,c,f,b,a,a,e,b,b
d,d,g,c,a,b,d,b,d
c,b,e,d,a,a,c,d,a
b,b,e,b,a,b,d,c,b
d,c,e,d,a,c,c,c,d
b,d,e,d,a,a,c,b,b
c,c,e,d,a,,c,c,a
c,a,f,a,a,a,d,a,d
b,c,e,a,a,,d,d,d
a,,f,c,a,,e,d,c
a,d,e,a,a,,d,c,b
c,c,f,c,a,a,c,c,a
c,d,e,b,a,d,c,d,b
d,d,e,b,a,a,d,a,d
d,c,f,b,a,b,d,c,a
b,a,e,c,a,a,c,a,c
b,a,f,b,a,a,d,a,c
c,b,f,a,a,,d,a,c
a,b,e,b,a,c,c,d,b
b,,e,b,a,a,e,b,d
b,a,f,c,a,a,d,a,a
b,d,e,b,a,,c,d,b
c,c,e,d,a,b,c,c,d
c,c,e,c,a,c,d,c,c
b,d,e,c,a,a,d,c,b
c,c,e,b,a,b,e,c,a
c,d,e,c,a,d,c,c,b
c,d,e,d,a,d,c,c,d
a,a,e,a,a,d,e,a,a
c,b,e,a,a,,d,c,a
d,,e,b,a,c,g,d,c
a,c,e,c,a,a,c,d,b
a,c,e,b,a,c,c,d,a
c,d,e,c,a,a,c,a,b
c,a,e,d,a,c,g,b,d
d,d,e,c,a,d,d,d,b
d,d,e,d,a,a,c,d,d
d,d,e,b,a,d,e,b,b
b,b,e,b,a,c,c,b,c
d,d,e,a,a,d,d,b,a
a,a,f,d,a,a,f,c,a
c,a,e,c,a,,e,c,c
a,d,e,d,a,d,e,c,b
d,b,f,d,a,a,d,a,b
d,,f,d,a,b,d,c,c
c,,e,d,a,c,d,d,c
a,d,f,a,a,,d,a,b
c,d,e,c,a,b,c,c,d
d,b,f,b,a,,g,b,a
b,c,e,c,a,d,b,c,b
c,b,g,c,a,c,d,d,b
b,b,f,b,a,,e,a,b
b,b,f,b,a,,d,c,b
c,d,e,d,a,d,c,d,d
b,d,e,a,a,d,d,d,c
d,b,e,c,a,,c,b,a
c,c,e,d,a,c,c,b,b
b,a,f,a,a,,d,a,c
c,d,e,b,a,,f,b,a
c,a,e,c,a,b,d,c,b
a,a,d,a,a,,d,a,a
c,b,e,a,a,,d,c,a
b,,f,a,a,,f,b,a
b,b,e,c,a,,d,a,b
c,a,e,d,a,,d,a,d
d,b,e,d,a,a,f,d,b
c,d,e,c,a,c,d,d,c
b,b,e,b,a,a,e,d,b
a,,h,b,a,c,g,d,c
a,b,e,c,a,,c,c,c
b,b,e,c,a,a,c,a,b
c,a,e,d,a,,c,b,c
d,d,e,d,a,b,c,d,c
d,c,e,b,a,a,b,b,b
d,d,e,d,a,b,f,d,d
d,c,e,c,a,c,c,c,b
c,c,e,a,a,c,d,d,a
a,d,e,a,a,a,d,b,c
c,,i,c,a,,d,a,c
c,c,e,a,a,c,d,c,d
c,a,f,a,a,,e,a,d
d,c,e,c,a,d,c,b,c
c,a,e,b,a,c,c,c,d
c,a,e,c,a,c,c,c,d
c,,g,d,a,b,c,a,a
a,,e,c,a,,c,b,a
b,b,f,b,a,,c,c,b
d,d,e,c,a,c,d,d,d
d,d,e,c,a,d,d,b,d
c,,f,b,a,d,d,c,a
b,d,d,d,a,d,d,b,d
d,d,e,c,a,b,c,c,d
d,d,e,c,a,d,d,a,d
c,d,e,d,a,,c,c,b
d,d,e,c,a,b,c,d,d
c,d,e,d,a,a,c,b,a
c,d,e,c,a,b,c,c,d
c,,e,a,a,,d,c,c
c,d,e,d,a,a,d,c,b
d,c,d,d,a,c,c,c,d
c,c,e,a,a,b,c,a,c
b,b,f,c,a,,d,b,a
a,d,e,a,a,,b,c,d
d,d,e,b,a,,c,a,d
a,a,e,d,a,c,d,c,a
b,b,e,a,a,,d,a,b
a,c,f,b,a,c,d,a,a
b,d,e,c,a,b,d,c,c
c,c,g,b,a,b,c,c,c
c,c,e,d,a,a,d,b,b
b,,f,c,a,d,d,b,c
c,a,e,b,a,,b,a,c
b,a,e,b,a,a,d,b,a
c,a,e,c,a,d,b,c,a
c,b,i,d,a,,e,b,c
b,a,f,b,a,,f,b,b
b,b,f,b,a,a,e,d,c
c,b,h,b,a,a,d,c,a
c,a,e,b,a,c,b,a,c
c,a,e,d,a,b,d,d,d
b,,f,c,a,b,g,a,b
b,d,e,a,a,,c,a,a
c,b,e,c,a,a,b,c,a
a,a,e,a,a,c,c,d,a
c,c,f,b,a,,c,b,d
c,c,e,c,a,c,d,c,d
c,b,e,c,a,b,e,b,b
d,c,e,c,a,d,c,d,a
c,c,e,b,a,b,d,d,b
c,,e,c,a,c,c,d,a
d,b,e,c,a,a,d,b,a
b,b,f,c,a,,c,c,b
c,b,g,c,a,b,b,c,c
d,d,e,c,a,b,d,c,d
b,a,f,a,a,,d,d,a
d,c,e,b,a,b,c,a,b
a,a,e,a,a,,d,b,b
b,c,e,b,a,b,d,d,c
d,d,e,d,a,c,c,d,d
c,a,f,c,a,c,d,c,d
c,c,e,b,a,d,d,a,d
b,c,e,a,a,c,d,c,b
c,a,e,c,a,a,c,c,a
c,b,f,c,a,a,d,b,b
a,c,f,a,a,,c,a,a
c,b,e,d,a,,f,a,b
b,b,e,a,a,,e,a,b
b,d,e,d,a,,d,a,a
a,c,f,b,a,,c,d,a
d,d,e,b,a,b,d,c,c
a,c,f,a,a,,d,a,b
b,b,e,b,a,d,b,c,d
b,a,f,b,a,,d,b,a
b,b,e,b,a,,d,b,a
b,a,e,a,a,d,d,a,a
c,d,g,b,a,d,c,a,a
b,a,f,d,a,c,d,b,b
b,c,f,b,a,d,f,d,c
c,c,e,d,a,c,c,d,c
b,a,f,a,a,,d,a,b
b,,e,c,a,d,c,b,b
b,c,g,c,a,b,d,c,b
c,a,e,b,a,,b,c,c
b,c,e,a,a,,d,c,b
c,d,e,b,a,c,d,b,c
c,,g,b,a,c,c,d,a
c,d,e,a,a,,d,c,a
b,c,f,d,a,c,c,b,b
b,,e,d,a,,d,b,b
d,c,e,c,a,c,b,a,b
a,c,e,b,a,a,g,d,c
d,,e,d,a,,c,d,c
b,,g,c,a,a,d,b,a
d,c,e,b,a,b,c,a,d
a,d,d,b,a,,c,c,a
b,c,e,b,a,c,d,b,c
b,b,e,d,a,,d,b,b
c,d,e,c,a,d,c,b,c
d,d,e,c,a,b,c,c,b
d,c,g,c,a,b,c,a,d
d,d,e,d,a,d,e,d,a
b,b,e,c,a,a,d,d,b
d,b,e,d,a,d,c,c,d
a,b,e,d,a,c,c,a,a
d,b,f,b,a,b,d,c,b
d,,e,c,a,a,d,d,d
d,d,e,d,a,b,c,c,b
b,a,f,b,a,,e,a,a
b,d,e,a,a,d,c,a,b
c,c,e,d,a,d,d,b,c
b,c,f,b,a,d,d,a,c
b,,i,a,a,c,d,c,b
c,d,e,b,a,c,d,c,b
b,b,i,b,a,a,d,b,b
d,b,f,d,a,d,c,d,d
a,a,e,c,a,c,e,c,d
c,c,f,b,a,b,c,b,a
b,b,e,a,a,a,b,b,a
c,,e,d,a,b,f,d,d
c,c,e,b,a,a,c,a,c
c,c,e,b,a,,d,c,a
b,d,f,a,a,,d,d,a
a,b,f,a,a,,d,c,c
d,c,e,d,a,a,c,d,c
d,c,e,d,a,c,c,d,d
c,b,e,a,a,a,d,a,a
d,d,e,d,a,a,c,d,d
b,c,e,b,a,a,e,c,b
c,,e,c,a,b,d,b,d
b,b,h,d,a,d,d,c,d
c,c,e,c,a,b,d,c,a
c,c,e,d,a,b,d,d,d
a,a,f,a,a,a,e,a,a
d,d,e,d,a,b,g,d,c
d,c,e,d,a,,d,c,c
a,d,f,b,a,b,d,c,d
c,c,e,c,a,b,d,c,c
c,c,e,d,a,,c,d,c
b,b,e,b,a,a,b,c,b
c,d,e,d,a,d,d,d,a
c,,f,a,a,d,c,b,c
d,d,e,d,a,c,c,d,d
c,d,e,b,a,,d,a,d
c,d,e,d,a,c,e,b,a
d,c,e,d,a,c,c,c,d
b,a,f,d,a,,d,c,b
c,c,e,c,a,a,d,b,c
c,b,f,a,a,a,d,a,d
c,d,f,a,a,a,b,a,a
b,d,g,a,a,c,e,b,a
c,c,d,b,a,,d,c,c
c,c,h,c,a,d,c,a,b
c,,g,a,a,b,e,a,a
a,c,e,a,a,a,b,c,d
d,d,d,a,a,c,e,c,b
a,,f,d,a,a,d,b,a
d,,e,b,a,c,c,d,d
a,c,f,b,a,a,c,a,b
c,c,e,c,a,b,c,d,c
d,c,e,d,a,d,c,b,d
d,a,e,d,a,,d,a,a
c,c,e,c,a,c,c,d,c
d,d,e,b,a,c,c,b,d
b,a,f,a,a,a,d,c,b
b,a,e,a,a,a,f,a,b
b,d,e,d,a,b,d,d,c
d,c,e,a,a,a,b,b,b
b,,f,a,a,,c,d,a
a,a,f,b,a,b,b,c,c
d,c,e,a,a,a,e,c,b
d,d,e,d,a,c,c,d,d
d,c,e,d,a,c,c,d,d
c,,e,d,a,c,c,c,d
b,b,d,b,a,,d,b,c
b,d,e,c,a,c,c,b,c
d,a,f,a,a,,e,a,b
c,a,e,a,a,b,d,c,c
c,c,f,a,a,a,c,a,a
c,d,e,d,a,d,c,c,c
d,a,e,a,a,,c,c,d
a,a,f,a,a,a,e,c,a
d,d,f,b,a,d,c,c,a
c,a,e,c,a,a,d,c,a
d,b,e,d,a,,g,d,c
c,b,e,b,a,d,c,c,b
d,c,e,c,a,b,d,c,c
d,b,f,b,a,b,d,b,b
d,b,e,c,a,b,c,d,c
d,c,e,d,a,b,c,d,c
b,a,e,a,a,d,d,c,d
d,d,e,b,a,a,d,b,b
c,,f,c,a,d,c,b,c
d,d,e,d,a,a,c,c,d
a,d,e,c,a,,c,b,d
a,b,f,a,a,,d,a,a
c,b,d,c,a,c,d,b,a
c,a,e,c,a,,d,b,b
c,d,g,c,a,b,d,d,a
b,c,f,d,a,b,d,b,b
c,c,e,a,a,c,d,d,c
b,c,e,d,a,a,f,d,a
b,a,f,a,a,,f,b,a
b,a,f,c,a,,d,a,b
b,d,e,a,a,b,d,c,a
a,a,e,c,a,a,b,c,b
d,,e,d,a,d,e,d,c
a,b,f,b,a,,d,b,a
c,c,e,d,a,b,b,c,b
d,d,e,b,a,b,d,c,d
a,a,e,a,a,,d,a,a
a,a,e,d,a,,d,d,b
b,,f,d,a,b,d,c,a
c,d,e,c,a,c,c,c,d
d,c,e,c,a,c,f,d,b
b,c,e,b,a,b,f,b,a
b,a,f,b,a,,d,a,a
a,d,h,b,a,,d,a,a
a,d,e,d,a,d,b,b,d
b,d,e,c,a,b,d,b,d
b,c,e,a,a,,c,b,a
d,d,e,d,a,d,c,d,d
b,b,h,b,a,,d,a,a
c,d,e,c,a,b,d,a,d
c,b,e,b,a,,d,d,b
a,b,d,a,a,d,b,d,d
d,b,e,c,a,c,d,d,b
b,a,f,b,a,a,d,c,b
a,d,f,b,a,b,c,d,a
a,a,e,b,a,d,c,c,d
c,b,e,b,a,a,d,b,c
b,b,f,b,a,b,d,b,a
c,c,e,c,a,a,d,a,a
b,c,e,d,a,b,e,d,c
a,a,d,a,a,,d,a,a
c,c,e,b,a,b,c,c,c
d,c,e,d,a,d,d,d,d
c,d,e,c,a,d,c,d,d
c,d,e,c,a,c,f,d,a
c,b,e,c,a,c,d,c,d
c,c,e,b,a,b,d,c,a
c,a,e,d,a,b,d,b,d
d,d,e,d,a,d,b,d,d
d,d,e,d,a,d,c,c,d
b,c,f,a,a,,d,b,b
d,c,f,d,a,d,d,c,d
a,c,f,b,a,,d,b,a
c,d,e,c,a,d,d,b,d
c,a,e,b,a,b,d,c,b
c,,e,c,a,c,c,d,d
c,c,f,a,a,b,d,a,c
b,,f,d,a,b,d,c,b
b,b,e,c,a,c,e,c,b
c,d,d,c,a,c,c,a,d
d,,f,c,a,c,d,c,b
c,,f,c,a,,d,b,c
c,c,e,d,a,c,c,d,c
d,d,e,d,a,a,d,d,a
b,,e,c,a,b,d,b,b
d,d,e,d,a,d,c,b,d
b,c,f,a,a,,e,c,b
b,b,d,b,a,b,d,b,c
d,d,e,d,a,,b,b,c
b,c,e,a,a,a,d,a,a
c,d,e,d,a,c,b,a,c
b,b,f,c,a,,e,c,a
c,c,e,c,a,,d,c,c
c,b,f,c,a,b,c,c,b
a,a,e,d,a,b,c,a,a
d,d,e,d,a,b,c,d,b
d,b,e,d,a,c,e,a,d
d,c,e,c,a,b,c,b,d
b,d,f,a,a,a,e,a,d
b,d,f,d,a,,d,d,c
d,d,i,d,a,d,b,d,d
d,d,e,d,a,a,c,d,c
c,c,f,c,a,a,c,a,d
b,a,f,a,a,,d,d,a
a,b,f,a,a,,c,a,a
b,a,f,a,a,,d,c,b
b,d,f,c,a,,c,b,b
c,b,e,d,a,d,c,d,c
a,d,e,a,a,b,d,d,a
a,a,f,a,a,,d,a,a
c,a,e,b,a,a,d,d,c
d,d,e,d,a,d,c,a,c
b,b,e,b,a,a,e,c,c
b,b,f,a,a,,c,b,a
a,b,e,d,a,c,c,a,a
d,c,e,d,a,a,c,d,d
a,d,e,d,a,b,d,c,c
d,d,e,b,a,c,d,c,b
c,c,e,d,a,d,c,d,d
d,a,e,c,a,,c,a,b
c,c,i,b,a,d,d,b,c
c,,e,a,a,d,e,c,d
d,c,e,d,a,d,f,d,d
c,a,e,c,a,b,c,b,b
b,d,i,a,a,,e,a,a
b,b,e,c,a,b,c,c,b
c,b,e,d,a,,c,c,c
a,c,e,b,a,,c,b,a
c,,e,d,a,b,c,c,b
b,b,e,b,a,b,g,d,d
b,,e,c,a,a,d,c,b
d,c,g,d,a,c,c,b,d
a,a,e,b,a,c,f,d,d
d,a,e,b,a,d,c,d,b
a,a,e,a,a,a,c,a,b
a,a,e,c,a,b,f,c,a
c,d,e,b,a,,d,a,a
a,a,e,c,a,d,f,a,a
b,d,e,c,a,c,e,a,c
b,c,f,b,a,,d,b,b
c,,f,c,a,b,e,b,a
d,a,g,b,a,a,e,c,b
b,b,f,b,a,,d,b,a
c,d,e,d,a,d,c,c,d
c,d,e,c,a,d,e,c,c
d,b,e,c,a,b,c,d,b
c,d,e,b,a,d,c,d,c
b,,e,d,a,,e,d,b
c,d,e,a,a,b,c,c,d
b,c,f,a,a,a,e,a,b
d,d,e,d,a,,c,d,c
b,a,f,b,a,,f,b,c
b,d,f,a,a,c,d,c,c
c,d,e,c,a,d,c,c,d
d,b,h,d,a,a,c,a,b
c,c,f,b,a,c,b,c,b
d,b,e,c,a,a,d,a,c
c,c,g,b,a,d,b,c,d
c,c,d,c,a,,d,c,b
b,d,d,a,a,b,e,b,a
c,c,e,c,a,b,c,c,d
a,,e,b,a,a,d,a,a
b,a,f,b,a,a,d,d,b
c,a,e,c,a,,b,b,a
