gender,ownhome,approval_senator2,partisan_identity,voted_president_party,protestantism_branch,has_child,religion,union_membership,religion_importance,approval_president,race_ethnicity,approval_governor,citizen,age,economy_retro,educ,approval_house_representative,church_attendance,employment_status,family_income,uninsured,no_immediate_family_served_military,state,year,union_membership_household,evangelical,approval_senator1,marital_status,interest_in_news,ideology,voted_general_election,registered_party,voted_senator_party,intention_house_representative_vote,registration_status,intention_to_vote,intention_president_vote,self_reported_turnout,intention_senator_vote,voted_house_representative_party,intention_governor_vote,voted_governor_party
Male,Own,Approve / Somewhat Approve,Independent,,Not protestant,Yes,Roman Catholic,union,Very Important,Approve / Somewhat Approve,Asian,Approve / Somewhat Approve,Non-Citizen,39,Stayed about the same,High School Graduate,Approve / Somewhat Approve,A Few Times a Year,Unemployed,Less than 10k,Yes,Yes,Nebraska,2013,union_hh,No,Approve / Somewhat Approve,Separated,Some of the time,Moderate,,,,,,,,,,,,
Male,Rent,Never Heard of this Person,Not Sure,,Not protestant,Yes,Something Else,union,Very Important,Strongly Disapprove,Asian,Never Heard / Not Sure,Non-Citizen,33,Stayed about the same,Post-Grad,Approve / Somewhat Approve,A Few Times a Year,Full-Time,70k - 80k,No,Yes,Pennsylvania,2018,union_hh,No,Approve / Somewhat Approve,Married,Only now and then,Moderate,No Record of Voting,No Record of Party Registration,,,Multiple Appearances,No,,,,,,
Male,Own,Disapprove / Somewhat Disapprove,Strong Republican,,Not protestant,No,Muslim,union,Very Important,Disapprove / Somewhat Disapprove,Asian,Disapprove / Somewhat Disapprove,Citizen,20,Stayed about the same,High School Graduate,Strongly Disapprove,Seldom,Full-Time,30k - 40k,Yes,Yes,Colorado,2013,union_hh,No,Strongly Disapprove,Single / Never Married,Some of the time,Moderate,,,,,,,,,,,,
Male,Other,Strongly Disapprove,Strong Republican,Republican,Not protestant,No,Buddhist,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Citizen,24,Gotten much worse,4-Year,Strongly Disapprove,Seldom,Full-Time,60k - 70k,No,Yes,California,2022,union_hh,No,Strongly Disapprove,Single / Never Married,Most of the time,Very Conservative,,,Republican,Republican,,"Yes, definitely",,Yes,Republican,Republican,Republican,Republican
Female,Own,Strongly Approve,Lean Democrat,Democratic,Adventist,No,Protestant,union,Very Important,Strongly Approve,Asian,Approve / Somewhat Approve,Citizen,76,Stayed about the same,Post-Grad,Disapprove / Somewhat Disapprove,Once a Week,Retired,70k - 80k,No,No,California,2012,union_hh,Yes,Approve / Somewhat Approve,Married,Most of the time,Moderate,Voted,No Record of Party Registration,Democratic,,Active,"Yes, definitely",Democratic,Yes,Democratic,Republican,,
Male,Own,Strongly Approve,Not Very Strong Democrat,Democratic,Not protestant,No,Buddhist,union,Very Important,Strongly Approve,Asian,Approve / Somewhat Approve,Citizen,67,Stayed about the same,2-Year,Strongly Approve,Seldom,Full-Time,60k - 70k,No,Yes,Arizona,2022,union_hh,No,Strongly Approve,Domestic Partnership,Most of the time,Liberal,,,Democratic,Democratic,,"Yes, definitely",,Yes,Democratic,Democratic,Democratic,Democratic
Female,Own,Strongly Disapprove,Strong Republican,,Not protestant,No,Roman Catholic,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Citizen,51,Gotten much worse,4-Year,Strongly Disapprove,Once a Week,Part-Time,80k - 100k,No,Yes,Nevada,2014,union_hh,No,Strongly Disapprove,Married,Some of the time,Conservative,No Record of Voting,No Record of Party Registration,,Republican,No Record of Registration,Probably,,,,,Republican,
Female,Rent,Approve / Somewhat Approve,Lean Democrat,Democratic,Presbyterian,No,Protestant,union,Very Important,Strongly Approve,Asian,Approve / Somewhat Approve,Non-Citizen,28,Gotten much better,Post-Grad,,Once a Week,Full-Time,150k+,No,Yes,New York,2011,union_hh,Yes,Disapprove / Somewhat Disapprove,Single / Never Married,Most of the time,Moderate,,,,,,,,,,,,
Male,Rent,Approve / Somewhat Approve,Strong Democrat,Democratic,Nondenominational or Independent Church,No,Protestant,union,Very Important,Approve / Somewhat Approve,Asian,Strongly Approve,Citizen,40,Gotten much better,Post-Grad,Disapprove / Somewhat Disapprove,Once a Week,Full-Time,100k - 120k,No,Yes,California,2021,union_hh,Yes,Approve / Somewhat Approve,Married,Most of the time,Liberal,,,,,,,,,,,,
Female,Other,Never Heard / Not Sure,Strong Democrat,,Something Else,No,Protestant,union,Very Important,Never Heard / Not Sure,Asian,Approve / Somewhat Approve,Citizen,30,Gotten better / somewhat better,4-Year,Never Heard / Not Sure,Seldom,Part-Time,Prefer not to say,No,Yes,California,2016,union_hh,Yes,Never Heard / Not Sure,Single / Never Married,Hardly at all,Liberal,No Record of Voting,No Record of Party Registration,,,No Record of Registration,Undecided,Democratic,,,,,
Female,Own,Approve / Somewhat Approve,Strong Republican,Republican,Nondenominational or Independent Church,Yes,Protestant,union,Very Important,Strongly Approve,Asian,Approve / Somewhat Approve,Citizen,47,Gotten better / somewhat better,2-Year,Approve / Somewhat Approve,Once a Week,Part-Time,40k - 50k,No,Yes,Indiana,2020,union_hh,Yes,Approve / Somewhat Approve,Married,Only now and then,Very Conservative,Voted,Republican Party,,Republican,Active,"Yes, definitely",Republican,Yes,,Republican,Republican,Republican
Male,Rent,Approve / Somewhat Approve,Independent,,Not protestant,No,Roman Catholic,union,Very Important,Strongly Approve,Asian,Strongly Approve,Non-Citizen,45,Stayed about the same,Some College,Approve / Somewhat Approve,Once a Week,Unemployed,10k - 20k,No,Yes,California,2019,union_hh,No,Approve / Somewhat Approve,Single / Never Married,Some of the time,Moderate,,,,,,,,,,,,
Male,,Strongly Disapprove,Independent,Did not Vote,Not protestant,Yes,Roman Catholic,union,Very Important,Disapprove / Somewhat Disapprove,Asian,Disapprove / Somewhat Disapprove,Citizen,47,Gotten much worse,4-Year,Approve / Somewhat Approve,Once a Week,Part-Time,30k - 40k,,Yes,California,2008,union_hh,Yes,Strongly Disapprove,Married,Most of the time,Very Liberal,Voted,,,,Active,,Republican,,,,,
Male,Own,Strongly Disapprove,Strong Democrat,Democratic,Not protestant,No,Roman Catholic,union,Very Important,Strongly Approve,Asian,Strongly Approve,Citizen,82,Stayed about the same,Post-Grad,Strongly Approve,Once a Week,Retired,Prefer not to say,No,Yes,Louisiana,2022,union_hh,No,Disapprove / Somewhat Disapprove,Married,Most of the time,Moderate,,,Democratic,Democratic,,"Yes, definitely",,Yes,Democratic,Democratic,,
Female,Own,Approve / Somewhat Approve,Independent,Republican,Baptist,No,Protestant,union,Very Important,Strongly Approve,Asian,Approve / Somewhat Approve,Citizen,61,Gotten better / somewhat better,High School Graduate,Approve / Somewhat Approve,Once a Week,Retired,Prefer not to say,No,No,Georgia,2020,union_hh,No,Approve / Somewhat Approve,Married,Most of the time,Moderate,Voted,Democratic Party,Republican,,Active,I already voted (early or absentee),,Yes,,Democratic,,
Female,Own,Approve / Somewhat Approve,Strong Democrat,,Not protestant,Yes,Hindu,union,Very Important,Strongly Approve,Asian,Strongly Approve,Citizen,48,Not sure,4-Year,Disapprove / Somewhat Disapprove,A Few Times a Year,Full-Time,120k - 150k,No,Yes,Virginia,2014,union_hh,No,Approve / Somewhat Approve,Married,Only now and then,Conservative,No Record of Voting,No Record of Party Registration,,Democratic,No Record of Registration,"Yes, definitely",,,Democratic,,,
Female,Own,Strongly Disapprove,Lean Republican,Republican,Not protestant,No,Mormon,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Citizen,55,Stayed about the same,4-Year,Strongly Approve,Once a Week,Full-Time,100k - 120k,No,Yes,Washington,2016,union_hh,No,Strongly Disapprove,Married,Most of the time,Moderate,No Record of Voting,No Record of Party Registration,Republican,Republican,No Record of Registration,"Yes, definitely",Republican,Yes,Republican,Republican,Republican,Republican
Female,Rent,Never Heard / Not Sure,Lean Democrat,Did not Vote,Not protestant,Yes,Hindu,union,Very Important,Strongly Disapprove,Asian,Approve / Somewhat Approve,Non-Citizen,47,Gotten much worse,Post-Grad,Never Heard / Not Sure,More Than Once a Week,Homemaker,100k - 120k,No,Yes,New Jersey,2022,union_hh,No,Never Heard / Not Sure,Married,Most of the time,Moderate,,,,,,,,,,,,
Female,Own,Approve / Somewhat Approve,Strong Democrat,,Not protestant,Yes,Buddhist,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Citizen,37,Gotten much worse,4-Year,Disapprove / Somewhat Disapprove,Once a Week,Homemaker,60k - 70k,No,Yes,Hawaii,2020,union_hh,No,Approve / Somewhat Approve,Married,Most of the time,Moderate,No Record of Voting,No Record of Party Registration,,,Active,No,Democratic,No,,,,
Male,Own,Approve / Somewhat Approve,Lean Democrat,Other Candidate,Episcopalian,No,Protestant,union,Very Important,Strongly Disapprove,Asian,Approve / Somewhat Approve,Citizen,40,Stayed about the same,Post-Grad,Approve / Somewhat Approve,Once a Week,Full-Time,150k+,No,Yes,Maryland,2018,union_hh,Yes,Approve / Somewhat Approve,Widowed,Most of the time,Moderate,No Record of Voting,No Record of Party Registration,Democratic,,No Record of Registration,"Yes, definitely",,Yes,Democratic,Democratic,Republican,Republican
Female,Own,Approve / Somewhat Approve,Strong Democrat,Democratic,Not protestant,Yes,Hindu,union,Very Important,Strongly Approve,Asian,Strongly Approve,Citizen,51,Gotten better / somewhat better,4-Year,Strongly Approve,Seldom,Full-Time,120k - 150k,No,Yes,Michigan,2022,union_hh,No,Strongly Approve,Married,Some of the time,Very Liberal,,,,Democratic,,"Yes, definitely",,Yes,,Democratic,Democratic,Democratic
Male,Own,Approve / Somewhat Approve,Not Very Strong Democrat,Democratic,Not protestant,Yes,Eastern or Greek Orthodox,union,Very Important,Strongly Approve,Asian,Strongly Approve,Citizen,33,Stayed about the same,4-Year,Approve / Somewhat Approve,Once a Week,Part-Time,100k - 120k,No,No,California,2014,union_hh,Yes,Strongly Approve,Married,Some of the time,Moderate,No Record of Voting,No Record of Party Registration,,Democratic,No Record of Registration,"Yes, definitely",,No,,,,
Male,Own,Approve / Somewhat Approve,Strong Democrat,Democratic,Not protestant,No,Buddhist,union,Very Important,Approve / Somewhat Approve,Asian,Disapprove / Somewhat Disapprove,Citizen,51,Stayed about the same,Post-Grad,Approve / Somewhat Approve,More Than Once a Week,Unemployed,70k - 80k,Yes,Yes,Hawaii,2009,union_hh,No,Approve / Somewhat Approve,Single / Never Married,Most of the time,Liberal,,,,,,,,,,,,
Female,Rent,Disapprove / Somewhat Disapprove,Independent,Democratic,Not protestant,No,Roman Catholic,union,Very Important,Approve / Somewhat Approve,Asian,Strongly Disapprove,Citizen,22,Gotten much worse,Some College,Approve / Somewhat Approve,Once a Week,Student,Prefer not to say,No,Yes,Michigan,2009,union_hh,No,Disapprove / Somewhat Disapprove,Single / Never Married,Most of the time,Moderate,,,,,,,,,,,,
Male,Other,Disapprove / Somewhat Disapprove,Strong Republican,Republican,Nondenominational or Independent Church,No,Protestant,union,Very Important,Strongly Disapprove,Asian,Strongly Approve,Citizen,21,Stayed about the same,Some College,,Once a Week,Student,Prefer not to say,Yes,Yes,Michigan,2012,union_hh,Yes,Disapprove / Somewhat Disapprove,Single / Never Married,Most of the time,Moderate,Voted,No Record of Party Registration,Republican,Republican,Active,"Yes, definitely",Republican,Yes,Republican,Republican,,
Male,Own,Strongly Disapprove,Independent,Republican,Presbyterian,No,Protestant,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Citizen,52,Gotten worse / somewhat worse,Post-Grad,Never Heard / Not Sure,More Than Once a Week,Full-Time,100k - 120k,No,Yes,New Jersey,2022,union_hh,Yes,Strongly Disapprove,Married,Most of the time,Conservative,,,,Republican,,"Yes, definitely",,Yes,,Republican,,
Female,Own,Strongly Disapprove,Strong Republican,,Pentecostal,No,Protestant,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Non-Citizen,56,Gotten much worse,Some College,Strongly Disapprove,More Than Once a Week,Full-Time,120k - 150k,No,No,California,2016,union_hh,Yes,Strongly Disapprove,Married,Some of the time,Conservative,No Record of Voting,No Record of Party Registration,,Republican,No Record of Registration,No,Republican,,,,,
Female,Own,Approve / Somewhat Approve,Not Very Strong Republican,Republican,Not protestant,Yes,Something Else,union,Very Important,Strongly Disapprove,Asian,Strongly Approve,Citizen,34,Stayed about the same,4-Year,Strongly Disapprove,Seldom,Homemaker,70k - 80k,No,Yes,Illinois,2016,union_hh,Yes,Strongly Disapprove,Married,Most of the time,Moderate,Voted,No Record of Party Registration,Republican,Republican,Active,"Yes, definitely",Republican,Yes,Republican,Republican,,
Female,,Strongly Approve,Independent,Democratic,Presbyterian,No,Protestant,union,Very Important,Strongly Disapprove,Asian,Approve / Somewhat Approve,Citizen,70,Gotten worse / somewhat worse,High School Graduate,Strongly Approve,Never,Retired,Prefer not to say,,Yes,Massachusetts,2008,union_hh,No,Strongly Approve,Married,Only now and then,Conservative,Voted,,Democratic,,Active,,,Yes,,,,
Male,Rent,Disapprove / Somewhat Disapprove,Lean Democrat,,Not protestant,Yes,Buddhist,union,Very Important,Approve / Somewhat Approve,Asian,Approve / Somewhat Approve,Citizen,28,Gotten better / somewhat better,4-Year,Disapprove / Somewhat Disapprove,Once a Week,Full-Time,80k - 100k,No,Yes,Florida,2016,union_hh,No,Disapprove / Somewhat Disapprove,Married,Some of the time,Moderate,No Record of Voting,No Record of Party Registration,,Democratic,No Record of Registration,"Yes, definitely",Democratic,No,Republican,,,
Female,Own,Strongly Disapprove,Lean Republican,Republican,Nondenominational or Independent Church,No,Protestant,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Citizen,60,Gotten much worse,Post-Grad,,Once a Week,Full-Time,120k - 150k,No,No,Washington,2012,union_hh,Yes,Strongly Disapprove,Married,Most of the time,Very Conservative,Voted,No Record of Party Registration,Republican,Republican,Active,"Yes, definitely",Republican,Yes,Republican,Republican,Republican,Republican
Female,Own,Disapprove / Somewhat Disapprove,Lean Republican,Republican,Not protestant,No,Roman Catholic,union,Very Important,Strongly Approve,Asian,Strongly Disapprove,Citizen,72,Gotten better / somewhat better,4-Year,Approve / Somewhat Approve,Once a Week,Full-Time,50k - 60k,No,No,Illinois,2019,union_hh,No,Strongly Disapprove,Married,Most of the time,Very Conservative,,,,,,,,,,,,
Female,Rent,Approve / Somewhat Approve,Strong Democrat,Democratic,Church of Christ or Disciples of Christ,No,Something Else,union,Very Important,Strongly Approve,Asian,Approve / Somewhat Approve,Citizen,39,Gotten much better,2-Year,Strongly Approve,Once a Week,Part-Time,20k - 30k,No,Yes,California,2021,union_hh,Yes,Approve / Somewhat Approve,Single / Never Married,Some of the time,Moderate,,,,,,,,,,,,
Female,Own,Disapprove / Somewhat Disapprove,Not Sure,Democratic,Not protestant,Yes,Buddhist,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Citizen,45,Not sure,4-Year,Disapprove / Somewhat Disapprove,Once or Twice a Month,Full-Time,120k - 150k,No,No,Oregon,2018,union_hh,No,Disapprove / Somewhat Disapprove,Married,Most of the time,Conservative,No Record of Voting,No Record of Party Registration,,,Active,No,,Yes,,Republican,,Republican
Female,Own,Disapprove / Somewhat Disapprove,Not Very Strong Republican,,Nondenominational or Independent Church,Yes,Protestant,union,Very Important,Approve / Somewhat Approve,Asian,Approve / Somewhat Approve,Citizen,33,Stayed about the same,4-Year,Never Heard / Not Sure,Once a Week,Full-Time,80k - 100k,No,Yes,Virginia,2016,union_hh,Yes,Approve / Somewhat Approve,Married,Some of the time,Conservative,No Record of Voting,No Record of Party Registration,,Republican,Active,"Yes, definitely",Republican,No,,,,
Female,Own,Never Heard / Not Sure,Not Very Strong Democrat,Democratic,Nondenominational or Independent Church,No,Protestant,union,Very Important,Approve / Somewhat Approve,Asian,Disapprove / Somewhat Disapprove,Citizen,23,Stayed about the same,4-Year,Never Heard / Not Sure,More Than Once a Week,Part-Time,40k - 50k,No,Yes,California,2021,union_hh,Yes,Never Heard / Not Sure,Single / Never Married,Hardly at all,Liberal,,,,,,,,,,,,
Male,Rent,Never Heard / Not Sure,Independent,,Methodist,No,Protestant,union,Very Important,Approve / Somewhat Approve,Asian,Disapprove / Somewhat Disapprove,Citizen,45,Stayed about the same,4-Year,Never Heard / Not Sure,Once or Twice a Month,Full-Time,40k - 50k,No,Yes,New York,2016,union_hh,Yes,Approve / Somewhat Approve,Married,Most of the time,Moderate,No Record of Voting,No Record of Party Registration,,,No Record of Registration,"Yes, definitely",,No,Democratic,,,
Female,Own,,Independent,Democratic,Not protestant,No,Hindu,union,Very Important,Strongly Approve,Asian,,Non-Citizen,20,Gotten better / somewhat better,Some College,Never Heard of this Person,Once a Week,Student,Less than 10k,Yes,Yes,District of Columbia,2013,union_hh,Yes,,Single / Never Married,Only now and then,Moderate,,,,,,,,,,,,
Female,Rent,,Independent,Democratic,Nondenominational or Independent Church,No,Protestant,union,Very Important,Strongly Disapprove,Asian,,Citizen,27,Stayed about the same,Post-Grad,Approve / Somewhat Approve,Once a Week,Full-Time,60k - 70k,No,Yes,District of Columbia,2018,union_hh,Yes,,Single / Never Married,Some of the time,Moderate,No Record of Voting,No Record of Party Registration,,Democratic,No Record of Registration,"Yes, definitely",,Yes,,Democratic,,
Female,Own,Strongly Disapprove,Lean Democrat,,Not protestant,Yes,Muslim,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,,27,Gotten worse / somewhat worse,Post-Grad,Never Heard / Not Sure,Once a Week,Full-Time,Prefer not to say,No,Yes,Texas,2020,union_hh,No,Never Heard / Not Sure,Married,Some of the time,Liberal,No Record of Voting,No Record of Party Registration,,,No Record of Registration,Undecided,,,,,,
Female,Rent,Strongly Disapprove,Not Sure,Democratic,Not protestant,No,Muslim,union,Very Important,Strongly Disapprove,Asian,Strongly Disapprove,Citizen,30,Gotten worse / somewhat worse,4-Year,Strongly Disapprove,Never,Unemployed,10k - 20k,No,Yes,New York,2021,union_hh,No,Strongly Disapprove,Married,Some of the time,Moderate,,,,,,,,,,,,
Male,Own,Approve / Somewhat Approve,Lean Democrat,Democratic,Not protestant,Yes,Muslim,union,Very Important,Approve / Somewhat Approve,Asian,Approve / Somewhat Approve,Citizen,41,Gotten better / somewhat better,4-Year,Strongly Approve,Once a Week,Full-Time,150k+,No,Yes,New Jersey,2010,union_hh,No,Approve / Somewhat Approve,Married,Most of the time,Moderate,Voted,,,Democratic,Active,,,Yes,,Democratic,,
Female,Rent,Strongly Approve,Independent,Republican,Not protestant,Yes,Hindu,union,Very Important,Strongly Approve,Asian,Strongly Approve,Citizen,32,Gotten much better,Post-Grad,Strongly Approve,Once or Twice a Month,Full-Time,150k+,Yes,Yes,Texas,2010,union_hh,Yes,Strongly Approve,Married,Some of the time,Conservative,No Record of Voting,,,Democratic,No Record of Registration,,,No,,,Republican,
Female,Own,Disapprove / Somewhat Disapprove,Not Very Strong Republican,,Not protestant,No,Roman Catholic,union,Very Important,Strongly Approve,Asian,Approve / Somewhat Approve,Citizen,22,Gotten better / somewhat better,2-Year,Approve / Somewhat Approve,Once a Week,Student,10k - 20k,No,Yes,California,2016,union_hh,No,Approve / Somewhat Approve,Single / Never Married,Some of the time,Moderate,No Record of Voting,No Record of Party Registration,,Republican,No Record of Registration,"Yes, definitely",Democratic,,Democratic,,,
Male,Own,Approve / Somewhat Approve,Strong Republican,Republican,Nondenominational or Independent Church,Yes,Protestant,union,Very Important,Strongly Disapprove,Asian,Approve / Somewhat Approve,Citizen,43,Gotten worse / somewhat worse,4-Year,Approve / Somewhat Approve,Once a Week,Full-Time,60k - 70k,No,Yes,Ohio,2016,union_hh,Yes,Disapprove / Somewhat Disapprove,Married,Most of the time,Moderate,Voted,No Record of Party Registration,Republican,Republican,Active,"Yes, definitely",Republican,Yes,Republican,Republican,,
Female,Own,Strongly Disapprove,Strong Republican,Republican,Something Else,No,Protestant,union,Very Important,Strongly Approve,Asian,Strongly Disapprove,Citizen,52,Gotten better / somewhat better,4-Year,Disapprove / Somewhat Disapprove,Once a Week,Full-Time,150k+,No,Yes,California,2018,union_hh,Yes,Strongly Disapprove,Married,Most of the time,Very Conservative,Voted,No Record of Party Registration,,Republican,Active,"Yes, definitely",,Yes,,Republican,Republican,Republican
Female,Rent,Never Heard of this Person,Independent,,Reformed,Yes,Protestant,union,Very Important,Disapprove / Somewhat Disapprove,Asian,Never Heard / Not Sure,Non-Citizen,30,Gotten better / somewhat better,4-Year,Never Heard of this Person,Once a Week,Homemaker,20k - 30k,No,Yes,Illinois,2018,union_hh,Yes,Never Heard of this Person,Married,Some of the time,Moderate,No Record of Voting,No Record of Party Registration,,,No Record of Registration,No,,,,,,
Male,Own,Approve / Somewhat Approve,Lean Republican,Republican,Not protestant,Yes,Mormon,union,Very Important,Strongly Disapprove,Asian,Approve / Somewhat Approve,Citizen,36,Gotten worse / somewhat worse,High School Graduate,Approve / Somewhat Approve,Once a Week,Full-Time,50k - 60k,No,No,Idaho,2014,union_hh,No,Approve / Somewhat Approve,Married,Most of the time,Conservative,Voted,Republican Party,Republican,Republican,Active,"Yes, definitely",,Yes,Republican,Republican,Republican,Republican
Male,Rent,Never Heard / Not Sure,Not Very Strong Democrat,,Not protestant,No,Something Else,union,Very Important,Strongly Approve,Asian,Never Heard / Not Sure,Non-Citizen,26,Stayed about the same,4-Year,Never Heard / Not Sure,Once or Twice a Month,Full-Time,50k - 60k,No,Yes,Maryland,2016,union_hh,Yes,Never Heard / Not Sure,Single / Never Married,Don't Know,Liberal,No Record of Voting,No Record of Party Registration,,,No Record of Registration,No,Democratic,,,,,
Female,Own,Strongly Disapprove,Strong Republican,Republican,Reformed,Yes,Protestant,union,Very Important,Strongly Disapprove,Asian,Approve / Somewhat Approve,Citizen,34,Gotten worse / somewhat worse,High School Graduate,Approve / Somewhat Approve,Once a Week,Other,50k - 60k,No,Yes,Michigan,2016,union_hh,Yes,Strongly Disapprove,Married,Hardly at all,Very Conservative,No Record of Voting,No Record of Party Registration,,Republican,No Record of Registration,"Yes, definitely",Republican,Yes,,Republican,,
