Total_population__Both_sexes_,Taxable_income__million_yen_,Ordinal_Number_of_employed_persons,Number_of_households__Total_,Ordinal_Number_of_physicians,Number_of_dwellings_with_occupying_households,Ordinal_Total_population__65_and_over_,Number_of_lower_secondary_school_students,Number_of_elderly_nursing_facilities__Questionnaire_about_basic_matters_
a,c,e,c,a,,d,a,a
c,d,e,d,a,b,b,d,a
a,c,d,a,a,d,d,a,b
c,,f,c,a,c,d,c,a
c,d,f,d,a,c,c,c,b
d,d,e,d,a,b,c,d,b
c,c,f,c,a,,c,c,b
b,a,e,b,a,,c,c,c
d,c,f,d,a,,c,d,b
c,c,f,a,a,d,c,b,b
a,a,e,a,a,d,d,b,c
b,b,e,b,a,a,f,b,c
c,,e,a,a,a,d,a,d
d,d,f,d,a,b,d,d,d
c,a,e,b,a,d,d,a,c
d,a,e,c,a,b,e,d,a
b,b,e,b,a,,c,a,a
b,b,f,b,a,d,c,b,c
b,b,f,b,a,a,d,b,a
a,b,e,a,a,,c,b,a
a,b,e,a,a,a,d,b,b
a,a,e,a,a,c,d,b,a
a,c,f,b,a,,f,a,a
a,a,e,a,a,,c,c,b
d,d,e,d,a,c,d,d,d
a,c,e,a,a,,d,c,b
c,c,e,d,a,c,e,a,d
c,c,e,c,a,a,c,d,d
d,d,f,d,a,c,d,d,c
b,b,f,a,a,a,c,a,a
b,a,e,a,a,,d,a,b
b,a,e,a,a,,d,c,b
a,d,e,a,a,d,e,c,b
a,b,e,b,a,a,e,b,b
a,b,f,c,a,b,c,b,a
d,,e,d,a,d,c,c,d
b,a,e,b,a,a,e,b,a
b,b,f,b,a,d,d,b,c
a,,f,a,a,,d,a,a
a,b,e,a,a,,e,a,a
b,b,e,a,a,b,d,b,a
a,a,f,b,a,,d,b,a
a,b,e,a,a,,d,c,b
a,,e,a,a,,d,c,b
b,a,f,b,a,,d,b,a
c,d,e,c,a,d,d,c,a
d,a,f,d,a,c,e,d,d
c,b,f,a,a,a,e,c,c
d,c,e,d,a,c,e,d,a
a,b,e,a,a,,c,a,c
a,d,g,a,a,d,d,a,c
d,d,e,d,a,c,c,d,a
d,d,e,d,a,c,f,d,b
b,b,f,b,a,a,e,b,b
c,a,f,a,a,c,b,a,a
d,c,e,c,a,c,c,a,a
b,b,e,a,a,a,d,b,a
b,a,f,a,a,,c,a,d
a,d,f,b,a,,d,c,a
b,a,f,b,a,,e,b,a
d,c,e,c,a,b,c,d,b
d,c,f,d,a,,e,c,a
c,b,d,c,a,a,c,a,b
d,c,e,d,a,b,d,d,d
b,a,f,b,a,b,d,a,a
a,a,e,c,a,,d,c,a
d,c,e,d,a,b,e,c,c
d,c,e,d,a,,f,d,c
b,a,e,a,a,a,f,b,a
b,a,f,a,a,,c,b,b
b,b,f,b,a,b,d,b,a
d,d,e,d,a,d,e,d,b
a,,e,c,a,b,b,c,a
a,c,e,a,a,a,d,a,d
a,c,e,c,a,a,b,a,d
d,c,f,d,a,,c,d,c
d,d,e,d,a,c,d,d,b
a,b,e,a,a,,f,b,d
c,c,e,d,a,b,e,c,d
c,,f,a,a,,d,b,b
a,b,f,c,a,,d,b,a
b,b,e,a,a,,d,a,c
d,,e,d,a,,e,c,c
c,d,f,c,a,c,e,c,d
a,a,e,b,a,a,d,a,a
d,c,e,d,a,b,e,d,b
b,b,e,b,a,a,e,b,a
b,b,e,b,a,a,e,b,a
a,c,f,b,a,,e,b,a
d,d,e,c,a,c,d,d,b
c,a,e,a,a,d,e,a,d
d,d,e,d,a,b,b,d,d
b,d,e,a,a,c,e,c,a
d,d,e,d,a,b,e,c,a
b,b,f,b,a,d,d,b,a
c,d,e,c,a,d,c,a,d
b,c,f,b,a,,c,b,a
a,a,e,a,a,,c,c,b
d,,e,a,a,,e,d,a
a,d,e,b,a,a,f,a,a
b,a,e,b,a,d,c,a,c
c,c,e,c,a,,e,c,a
b,c,e,a,a,b,c,b,b
d,,e,d,a,d,e,c,c
b,b,e,b,a,c,c,a,a
b,a,e,a,a,,c,a,a
b,b,f,b,a,d,c,b,a
b,b,d,b,a,d,c,a,a
d,d,f,d,a,c,d,d,a
a,,e,a,a,b,c,a,d
a,,e,c,a,,d,c,d
b,b,f,b,a,,e,b,c
c,a,e,d,a,b,c,c,b
b,a,e,a,a,c,e,b,a
d,d,f,c,a,c,e,d,d
a,,e,d,a,b,d,c,c
d,c,e,d,a,,c,d,c
a,b,f,b,a,,c,b,a
b,b,f,b,a,a,e,a,a
a,b,e,c,a,c,c,c,a
a,d,e,a,a,d,c,c,b
b,a,f,b,a,b,d,a,a
c,a,e,d,a,d,d,c,d
a,a,e,a,a,b,c,c,a
c,,e,c,a,c,b,a,b
b,b,e,b,a,d,d,b,a
c,a,e,c,a,c,d,c,c
c,d,e,a,a,c,c,d,c
d,d,e,d,a,c,c,d,b
b,b,f,b,a,d,f,b,b
b,b,e,a,a,,c,b,a
c,d,e,d,a,,c,d,c
d,b,f,d,a,d,c,d,a
b,a,e,b,a,,c,b,a
b,a,e,b,a,a,d,b,a
c,d,e,c,a,b,e,d,a
b,b,h,b,a,b,d,b,a
b,b,e,b,a,d,c,b,a
a,b,e,a,a,d,c,a,d
a,b,f,c,a,b,d,a,b
a,b,e,b,a,,d,a,a
a,,f,a,a,a,d,b,a
d,c,e,d,a,,c,d,b
d,,e,c,a,b,e,c,d
b,,f,b,a,b,c,c,a
c,d,f,a,a,d,d,a,d
d,c,e,d,a,,c,d,d
b,b,f,b,a,a,e,b,a
a,c,e,c,a,c,e,c,d
a,,f,c,a,b,f,a,a
c,c,e,a,a,b,d,c,b
b,b,e,b,a,a,d,b,d
b,d,f,a,a,c,d,a,a
d,d,e,d,a,,c,c,d
a,a,e,c,a,a,d,b,d
c,a,e,a,a,,f,a,b
c,c,e,d,a,a,d,d,b
a,a,e,c,a,,c,c,a
b,c,f,b,a,c,d,b,a
b,b,f,b,a,,c,a,a
a,a,e,b,a,,c,b,c
b,a,e,a,a,,d,a,b
d,d,e,d,a,b,c,d,a
a,a,e,b,a,d,c,a,c
b,,f,a,a,d,d,b,b
a,a,e,d,a,d,f,c,c
b,b,f,b,a,,d,c,c
d,d,e,c,a,a,d,d,b
a,,e,a,a,c,c,a,a
b,a,e,b,a,d,c,b,a
a,d,e,a,a,d,c,c,b
c,,f,c,a,a,c,a,b
b,c,e,b,a,c,c,a,a
c,c,e,a,a,d,c,c,c
a,a,e,a,a,b,d,c,c
d,d,e,d,a,c,d,d,d
c,c,e,c,a,c,d,c,a
a,b,e,a,a,c,d,c,b
b,a,f,b,a,d,c,b,a
a,,f,a,a,a,c,a,b
c,c,e,c,a,d,c,d,a
d,c,e,d,a,b,c,d,b
b,b,e,b,a,d,e,a,c
a,,e,b,a,d,d,b,b
a,c,f,a,a,,d,a,d
d,a,e,c,a,a,c,d,d
b,,e,a,a,c,c,a,b
b,d,e,b,a,d,d,c,a
a,,f,d,a,c,d,c,b
a,b,e,a,a,,f,a,c
a,c,e,b,a,c,d,a,a
b,,f,d,a,b,e,a,a
c,d,e,d,a,d,c,d,d
d,a,f,c,a,,d,c,b
a,c,e,c,a,a,c,a,d
a,a,f,a,a,,d,a,d
d,a,f,c,a,b,d,c,a
a,a,e,a,a,b,e,c,a
b,a,e,a,a,,d,a,a
a,c,f,a,a,a,d,b,b
c,c,e,d,a,,c,d,d
c,b,e,c,a,,f,a,c
c,a,f,a,a,b,b,c,b
d,d,f,d,a,b,e,d,c
c,a,f,d,a,d,c,a,a
a,b,e,a,a,a,c,a,c
b,b,f,b,a,,d,b,a
a,c,e,c,a,b,d,a,b
d,d,e,d,a,b,c,d,b
b,b,f,b,a,d,d,b,a
c,b,e,b,a,,d,a,c
b,d,f,b,a,a,d,b,a
d,a,e,d,a,b,d,a,b
c,a,f,a,a,,c,b,a
b,b,e,b,a,d,c,b,a
a,b,d,b,a,d,d,b,a
a,a,e,a,a,d,d,a,b
d,d,f,d,a,c,d,d,b
c,d,e,d,a,b,c,a,a
d,d,e,d,a,c,e,d,b
b,b,e,b,a,a,c,b,a
a,a,e,d,a,b,e,d,a
c,,f,a,a,d,c,c,b
a,c,f,a,a,,d,c,d
c,,e,d,a,d,d,d,a
d,c,e,a,a,,d,d,d
a,d,e,c,a,,d,c,b
b,a,e,b,a,,e,a,a
d,d,f,d,a,,c,d,d
b,b,h,b,a,d,d,b,a
a,,d,c,a,,d,a,a
c,c,f,d,a,a,d,c,a
c,a,f,a,a,,d,c,d
a,d,e,c,a,b,d,d,b
c,d,e,c,a,a,d,d,b
c,d,e,a,a,b,c,d,d
b,b,f,b,a,a,d,b,b
a,c,e,a,a,,d,c,d
a,b,e,c,a,b,f,a,a
b,a,d,b,a,b,d,b,c
a,d,e,c,a,,c,c,b
a,,e,b,a,d,c,d,d
c,c,f,c,a,c,c,a,c
d,d,e,d,a,,d,d,d
b,b,f,b,a,,e,b,b
c,c,e,d,a,,c,d,d
c,d,e,a,a,a,e,c,d
a,,d,c,a,d,c,b,b
c,,e,c,a,,c,a,b
b,b,e,b,a,b,b,b,a
a,b,e,b,a,c,c,b,a
c,c,f,c,a,c,c,d,a
b,c,e,b,a,a,c,b,d
d,c,f,a,a,c,c,d,b
d,d,e,d,a,a,c,d,d
b,a,f,a,a,b,c,c,b
c,c,f,c,a,c,f,a,d
c,a,e,c,a,,d,c,d
b,a,e,b,a,d,d,b,a
a,b,f,d,a,,b,a,c
c,c,e,c,a,,c,d,d
a,a,f,b,a,,c,b,c
c,c,e,c,a,,d,c,b
c,c,e,a,a,c,e,a,a
d,c,e,d,a,c,d,a,d
a,c,e,a,a,c,d,c,b
d,c,e,d,a,,d,d,d
d,a,e,c,a,c,c,c,c
d,c,e,a,a,,e,a,b
b,a,f,a,a,c,d,b,a
b,a,f,c,a,c,b,b,c
b,b,e,b,a,d,c,b,a
c,a,e,c,a,b,c,a,b
c,,e,c,a,,d,c,c
c,d,e,c,a,c,c,d,a
a,a,e,b,a,a,e,a,d
d,d,e,a,a,c,c,d,b
c,c,f,c,a,,f,c,a
b,b,e,b,a,a,e,b,c
d,d,e,d,a,c,c,d,c
d,c,e,c,a,c,d,d,a
d,d,e,d,a,,d,d,d
c,,e,c,a,c,c,c,d
b,d,e,b,a,c,d,c,c
c,a,f,c,a,,d,c,c
c,d,e,c,a,a,c,d,c
d,d,e,d,a,c,d,d,d
a,a,e,a,a,d,e,c,d
a,a,e,a,a,,e,c,d
b,b,d,b,a,a,d,b,a
a,a,e,c,a,d,d,a,d
d,b,e,c,a,a,c,a,d
b,b,e,b,a,,c,b,a
d,d,e,d,a,d,d,d,d
d,c,f,d,a,c,d,d,d
d,d,e,d,a,c,e,d,b
c,c,e,d,a,,e,d,c
d,d,f,d,a,d,c,d,b
d,,f,d,a,b,c,d,d
b,b,f,a,a,,e,b,a
c,d,e,c,a,c,c,c,c
d,a,e,c,a,d,c,c,d
a,c,e,a,a,b,c,a,d
c,a,f,a,a,,e,b,c
d,d,f,c,a,c,c,d,b
d,c,f,c,a,,d,c,b
b,a,e,b,a,a,c,b,c
b,b,e,a,a,,e,a,b
a,a,e,b,a,b,d,b,c
b,b,e,a,a,a,d,a,a
d,c,e,d,a,a,d,c,b
b,b,f,b,a,b,c,b,a
b,b,e,b,a,a,c,b,b
a,c,e,a,a,,e,c,c
b,b,e,b,a,,c,a,b
b,,f,b,a,a,d,b,a
b,b,d,b,a,a,d,b,a
c,a,e,a,a,,b,c,b
a,,e,a,a,a,c,c,b
d,d,f,d,a,,d,d,d
d,c,e,a,a,,e,d,c
d,d,e,d,a,c,d,d,d
a,,e,a,a,d,c,a,b
a,a,f,a,a,,c,b,a
d,d,e,d,a,c,f,d,b
a,b,e,a,a,a,e,b,d
b,c,e,b,a,b,e,a,b
d,d,e,d,a,c,e,d,d
d,c,f,d,a,a,c,d,d
d,d,f,c,a,c,b,c,c
c,a,e,c,a,b,c,c,b
c,d,f,c,a,,d,d,d
a,,d,c,a,,d,b,a
c,a,e,c,a,b,f,c,c
b,b,e,b,a,a,c,b,c
c,c,f,a,a,b,d,c,d
d,d,e,c,a,c,e,d,c
c,d,f,d,a,,d,c,d
d,d,e,d,a,b,e,c,b
b,b,e,b,a,c,d,a,a
b,,e,b,a,,d,b,d
a,c,e,b,a,a,d,a,d
c,b,e,a,a,a,d,a,d
d,d,e,d,a,b,d,d,d
b,a,f,b,a,b,d,b,a
d,d,e,d,a,,d,d,d
c,c,e,c,a,c,d,a,d
d,a,e,a,a,d,e,b,c
b,b,f,b,a,b,c,b,a
c,c,e,a,a,c,d,c,a
a,b,e,c,a,c,e,d,b
d,c,e,d,a,b,d,c,a
c,d,e,c,a,,d,d,a
c,c,e,c,a,a,c,d,d
c,c,e,a,a,a,d,d,c
b,a,f,b,a,a,c,a,b
c,c,e,a,a,,d,c,d
b,a,e,b,a,b,c,b,b
a,a,e,b,a,a,c,a,c
d,d,e,c,a,a,c,d,d
b,b,e,b,a,a,e,b,a
b,a,f,b,a,a,e,b,b
d,d,e,d,a,b,d,d,d
a,c,e,a,a,b,c,c,b
a,,d,c,a,d,d,a,b
d,d,f,d,a,c,d,d,d
b,a,e,b,a,a,e,b,a
b,d,e,a,a,a,d,a,b
c,,e,a,a,b,c,c,a
d,,e,c,a,a,c,d,c
c,a,e,c,a,a,e,a,d
a,b,f,c,a,a,e,a,b
b,a,f,a,a,d,e,b,a
c,a,e,d,a,,f,c,d
c,d,f,c,a,,c,c,a
b,c,e,a,a,b,c,a,c
d,d,e,d,a,d,c,d,b
a,b,f,b,a,,e,b,a
b,a,e,b,a,,d,c,b
b,b,e,b,a,a,c,b,a
d,d,e,c,a,,e,d,d
c,a,e,c,a,,c,d,c
d,d,e,d,a,a,d,d,d
d,d,f,d,a,,d,c,c
c,c,e,d,a,,d,d,c
a,d,e,d,a,c,e,c,c
c,a,e,d,a,,d,c,b
c,c,e,c,a,b,e,d,b
b,,f,b,a,b,e,b,a
a,b,f,a,a,,c,a,a
c,a,f,c,a,a,d,a,c
c,a,e,a,a,a,d,b,c
c,c,e,a,a,,d,a,b
b,a,e,a,a,a,c,b,d
a,b,e,a,a,d,f,b,a
a,a,e,b,a,,c,a,a
b,a,g,b,a,d,d,a,a
b,b,f,b,a,d,c,b,a
a,d,e,c,a,c,c,c,a
b,b,e,b,a,,d,b,a
d,d,e,c,a,d,b,d,d
b,b,e,b,a,a,c,a,a
c,b,e,c,a,a,d,a,b
c,d,f,d,a,c,c,d,a
c,c,f,b,a,,d,d,b
a,a,e,c,a,d,c,c,d
a,b,d,b,a,a,c,a,a
a,a,f,c,a,,c,a,c
d,d,f,d,a,,e,d,d
a,b,e,b,a,a,e,a,a
b,c,e,a,a,a,d,b,d
d,d,e,d,a,b,d,d,d
c,,e,c,a,a,d,d,d
b,c,e,c,a,c,e,a,a
c,c,f,d,a,,c,a,d
c,a,e,a,a,b,e,a,d
b,b,e,b,a,d,f,b,c
b,b,e,b,a,,c,b,c
a,b,e,c,a,a,c,b,d
b,b,f,a,a,a,e,b,c
c,d,f,a,a,b,c,a,a
c,b,e,c,a,,c,c,a
b,a,e,a,a,,c,b,a
c,a,e,c,a,,e,a,d
c,,e,a,a,d,e,a,c
a,a,f,a,a,c,e,a,a
b,b,g,b,a,a,f,b,a
b,b,f,a,a,a,c,b,a
a,a,f,a,a,,d,b,a
d,d,f,d,a,,d,d,d
d,d,e,d,a,c,d,d,d
a,a,e,c,a,,d,a,d
c,a,e,c,a,c,e,c,c
a,a,e,a,a,a,d,b,b
c,c,e,c,a,a,d,c,d
c,,e,c,a,a,d,c,d
a,c,e,a,a,d,d,b,b
c,a,f,b,a,,f,a,a
a,,e,b,a,d,c,b,b
b,c,f,b,a,a,e,b,a
b,a,f,b,a,a,d,b,a
a,c,e,c,a,,d,d,d
a,d,g,d,a,,d,c,c
d,d,e,c,a,,f,c,b
a,b,e,c,a,c,f,a,a
c,c,e,c,a,c,d,c,a
c,a,e,c,a,c,d,b,d
a,a,f,a,a,a,d,a,d
b,c,f,b,a,,d,a,a
d,d,e,d,a,,f,d,d
b,b,e,b,a,a,f,b,a
b,b,e,a,a,a,e,b,b
b,b,f,b,a,d,c,a,a
a,c,e,b,a,,c,c,c
b,b,f,b,a,b,e,b,a
a,a,e,c,a,d,c,c,c
c,c,f,c,a,,d,c,a
d,d,f,c,a,d,d,d,b
d,c,e,d,a,d,d,d,d
d,d,f,d,a,b,d,d,d
d,a,f,c,a,c,d,c,c
d,c,e,d,a,d,d,d,c
d,c,e,d,a,b,c,c,b
b,a,e,b,a,,c,b,a
c,d,e,b,a,b,d,c,a
c,d,f,b,a,d,c,c,d
a,a,f,c,a,,d,c,a
a,,e,a,a,b,e,a,d
a,b,f,b,a,a,d,b,c
c,d,e,d,a,b,c,c,d
a,c,e,c,a,b,b,d,a
c,c,d,c,a,b,c,c,a
b,b,f,b,a,,e,b,a
d,c,e,d,a,d,d,d,d
a,c,e,a,a,d,d,b,d
a,b,e,d,a,d,d,d,b
a,b,f,a,a,d,d,d,b
d,a,e,c,a,,c,d,d
d,c,e,d,a,b,c,d,d
a,d,e,c,a,,c,c,d
d,d,f,d,a,c,e,d,d
d,d,g,d,a,b,c,d,c
b,a,f,a,a,d,d,b,a
c,a,e,c,a,c,c,c,b
c,c,e,c,a,b,e,d,d
b,a,f,b,a,,c,b,a
d,d,e,d,a,d,d,d,d
d,d,e,d,a,b,c,d,b
b,b,f,b,a,d,c,b,a
c,d,e,d,a,b,c,c,d
b,a,f,b,a,,d,b,d
b,b,i,b,a,a,f,b,a
a,a,f,a,a,a,c,a,a
d,d,e,c,a,c,e,d,a
b,b,h,b,a,c,d,a,a
b,a,e,b,a,c,d,a,a
b,c,e,b,a,b,d,a,b
c,c,e,d,a,b,e,c,c
b,b,f,b,a,a,c,b,a
c,a,e,a,a,,d,a,d
c,d,f,d,a,,e,c,b
a,d,f,c,a,d,c,a,b
b,a,e,b,a,a,e,b,c
b,a,f,b,a,a,c,b,b
a,c,e,c,a,d,e,b,b
a,,d,a,a,a,e,a,b
c,c,e,c,a,b,c,d,d
a,b,e,a,a,a,c,a,b
b,b,e,a,a,b,b,a,a
d,d,e,d,a,c,c,d,a
b,b,f,b,a,a,d,b,c
a,a,e,b,a,,e,a,d
a,b,f,a,a,c,e,a,a
b,b,e,b,a,,c,b,a
c,a,e,a,a,d,c,c,b
b,b,e,b,a,,e,b,c
c,c,e,a,a,b,c,c,c
d,d,e,d,a,,c,d,c
a,d,f,a,a,,d,a,d
b,b,f,b,a,,d,b,a
d,d,e,d,a,c,c,d,b
b,c,f,b,a,c,c,b,c
d,c,f,c,a,b,d,c,a
c,a,f,c,a,d,e,a,a
b,b,h,b,a,,d,b,a
d,d,f,d,a,c,d,d,a
d,c,f,c,a,,f,d,d
a,,f,d,a,a,c,d,c
a,d,f,d,a,,c,c,c
a,,f,a,a,d,d,b,a
b,,f,b,a,b,d,b,a
b,a,e,a,a,d,c,b,d
d,d,e,d,a,c,f,d,d
a,b,e,b,a,d,c,b,a
a,a,e,a,a,c,c,a,a
a,b,e,a,a,c,d,a,a
c,a,e,a,a,c,d,c,b
b,b,e,b,a,a,d,b,b
d,c,f,c,a,,c,c,b
a,,e,a,a,,f,b,a
b,b,f,b,a,d,d,b,a
b,c,f,a,a,,d,b,a
d,d,f,d,a,b,d,d,b
a,,e,d,a,,c,d,d
d,,e,d,a,d,d,d,d
b,a,e,b,a,,c,b,a
d,,e,c,a,,d,c,a
a,b,e,b,a,b,c,b,a
c,a,e,c,a,d,c,d,c
a,b,e,c,a,d,d,b,c
a,a,e,a,a,d,d,a,b
c,a,f,a,a,,e,a,b
c,,e,c,a,,d,c,b
c,,e,d,a,b,d,a,b
c,d,f,a,a,b,d,d,c
b,b,f,b,a,a,d,b,a
c,a,e,c,a,,d,a,d
c,c,f,c,a,c,d,c,a
d,d,e,d,a,b,c,d,d
a,c,e,c,a,c,d,a,c
c,d,e,c,a,,c,c,b
c,c,f,d,a,c,d,c,b
c,,e,c,a,,c,c,a
d,d,e,d,a,,d,d,d
c,c,f,b,a,,e,a,a
d,c,e,d,a,,f,d,c
a,c,e,a,a,b,c,c,a
a,,e,c,a,,c,c,d
a,a,d,a,a,d,e,a,c
b,b,f,b,a,b,c,b,a
a,c,e,a,a,b,d,c,a
a,a,e,a,a,b,b,a,a
d,d,e,d,a,b,c,d,d
a,a,e,a,a,,c,b,d
a,c,e,c,a,d,e,c,c
c,d,e,c,a,,d,a,a
c,c,e,c,a,b,f,c,c
d,d,e,d,a,b,e,d,d
b,b,f,b,a,d,c,b,a
a,,e,a,a,c,e,b,a
b,b,f,a,a,d,e,a,b
d,d,e,d,a,c,d,d,c
a,a,e,b,a,,d,b,a
b,b,e,b,a,a,e,a,a
a,b,e,c,a,d,e,c,a
a,c,e,a,a,a,c,c,b
a,,e,a,a,a,d,a,a
d,d,f,d,a,,d,d,d
c,a,f,a,a,,d,a,a
a,a,f,a,a,,d,a,a
c,a,e,c,a,,b,d,b
c,b,f,a,a,a,d,a,a
c,,f,c,a,d,d,c,b
b,,f,a,a,c,d,c,c
c,a,e,a,a,d,c,c,b
b,,f,b,a,a,c,b,b
b,,e,b,a,b,c,b,a
a,d,f,c,a,,e,a,b
c,,e,d,a,a,b,a,c
d,c,e,d,a,c,d,c,d
d,,e,d,a,b,d,b,d
b,c,e,c,a,,c,a,c
d,d,e,c,a,b,e,c,a
a,c,e,a,a,d,d,a,d
c,c,e,c,a,,c,d,a
b,b,f,b,a,a,e,b,a
d,c,e,c,a,,d,c,c
a,d,f,a,a,a,f,c,d
a,d,e,c,a,d,d,c,d
c,c,d,c,a,c,e,d,d
c,c,e,a,a,d,d,a,d
c,d,e,c,a,,d,d,d
a,c,e,a,a,c,e,a,a
b,c,e,b,a,,c,a,c
d,d,f,d,a,b,c,d,b
c,c,e,d,a,c,d,c,c
d,d,e,d,a,c,d,d,b
d,d,f,d,a,c,d,c,d
d,c,e,d,a,d,c,c,d
c,d,e,c,a,,c,d,d
b,a,g,a,a,a,c,c,a
d,d,f,c,a,d,c,c,d
c,d,e,c,a,,c,b,d
a,c,e,c,a,b,c,c,b
b,,e,b,a,,e,b,b
d,c,e,d,a,,d,d,d
b,c,e,a,a,d,e,b,a
d,,f,a,a,,c,c,a
c,d,e,c,a,c,e,d,b
d,d,e,d,a,d,b,d,d
d,d,e,d,a,c,c,d,d
c,c,e,a,a,b,d,c,a
d,c,f,d,a,b,d,d,b
d,c,e,d,a,,c,d,b
d,d,e,d,a,,c,d,d
d,d,f,d,a,c,e,d,b
a,b,e,b,a,a,d,a,a
b,,f,b,a,a,c,b,c
a,a,e,a,a,a,c,b,b
a,b,f,a,a,,c,a,c
b,b,e,a,a,a,e,a,d
a,d,e,b,a,,e,a,b
a,c,e,a,a,c,c,c,a
b,,e,b,a,c,d,b,b
d,,e,c,a,d,c,c,b
a,c,e,c,a,b,d,c,b
c,a,g,d,a,,e,c,c
d,,e,a,a,a,c,d,d
a,a,e,a,a,,c,b,c
b,b,i,a,a,,e,a,a
d,d,e,c,a,c,d,c,c
a,c,f,c,a,,d,a,b
c,a,f,a,a,b,d,c,a
d,d,e,d,a,,c,d,c
b,b,e,b,a,d,d,c,c
d,d,e,d,a,b,c,d,c
c,d,f,c,a,b,c,a,c
d,a,e,a,a,a,d,d,d
d,c,e,d,a,a,e,d,d
b,b,e,b,a,d,e,b,a
c,c,d,a,a,,f,a,a
a,c,e,a,a,b,d,a,a
d,d,e,d,a,,c,d,c
a,b,h,b,a,,d,b,a
b,a,e,a,a,b,d,a,d
b,a,f,a,a,b,d,a,a
c,d,e,d,a,d,b,d,d
b,a,f,b,a,a,d,b,a
d,c,e,c,a,c,e,a,a
d,d,e,d,a,,e,c,a
d,d,e,d,a,b,c,d,d
b,b,e,a,a,,b,b,b
d,d,e,c,a,c,e,d,b
c,c,e,c,a,a,d,c,a
d,c,e,d,a,a,c,c,d
a,a,e,c,a,d,d,a,d
c,,e,d,a,,e,c,b
